uid,district,origin,way_id,highway,name,access,motor_vehicle,oneway,bridge,tunnel,layer,maxspeed,surface
n4919312070,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
n4919312070,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
n4919312070,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,252579182,service,,,,yes,,,,,asphalt
n4919312070,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n4919312070,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n4919312070,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n4919312070,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n4919312070,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n4919312070,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n4919312070,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n4919312070,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n4919312070,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n4919312070,Борисовка,central,38633099,primary,,,,yes,yes,,1,60,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n4919312070,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n4919312070,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n4919312070,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n4919312070,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
n4919312070,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
n4919312070,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
n4919312070,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
n4919312070,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
n4919312070,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
w319402241,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
w319402241,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
w319402241,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
w319402241,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319402241,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319402241,Борисовка,central,252579182,service,,,,yes,,,,,asphalt
w319402241,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319402241,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319402241,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319402241,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319402241,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319402241,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319402241,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319402241,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319402241,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319402241,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319402241,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319402241,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319402241,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319402241,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319402241,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319402241,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319402241,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319402241,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
w319402241,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
w319402241,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
w319402241,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
w319402241,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
w319402241,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
w319402241,Борисовка,central,38633099,primary,,,,yes,yes,,1,60,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319402241,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
w319402241,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
w319402241,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
w319402241,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
w319402241,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
w319402241,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
w319402241,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
w319402241,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
w319402241,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
w319305814,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
w319305814,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
w319305814,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
w319305814,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319305814,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319305814,Борисовка,central,252579182,service,,,,yes,,,,,asphalt
w319305814,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319305814,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319305814,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319305814,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319305814,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319305814,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319305814,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319305814,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319305814,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319305814,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319305814,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319305814,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319305814,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319305814,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319305814,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319305814,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319305814,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319305814,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
w319305814,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
w319305814,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
w319305814,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
w319305814,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
w319305814,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
w319305814,Борисовка,central,38633099,primary,,,,yes,yes,,1,60,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
w319305814,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
w319305814,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
w319305814,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
w319305814,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
w319305814,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
w319305814,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
w319305814,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
w319305814,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
w319305814,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
n2325729678,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
n2325729678,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
n2325729678,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,252579182,service,,,,yes,,,,,asphalt
n2325729678,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n2325729678,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n2325729678,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n2325729678,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729678,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729678,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729678,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729678,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729678,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n2325729678,Борисовка,central,38633099,primary,,,,yes,yes,,1,60,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729678,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n2325729678,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n2325729678,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n2325729678,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
n2325729678,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
n2325729678,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
n2325729678,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
n2325729678,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
n2325729678,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
n2325729685,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
n2325729685,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
n2325729685,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,252579182,service,,,,yes,,,,,asphalt
n2325729685,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n2325729685,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n2325729685,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
n2325729685,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
n2325729685,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729685,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729685,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729685,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
n2325729685,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,132957188,primary,Кишинёв-Тирасполь,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,41749653,primary,,,,yes,,,,60,asphalt
n2325729685,Борисовка,central,38633099,primary,,,,yes,yes,,1,60,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,793066067,primary,,,,yes,,,,50,asphalt
n2325729685,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n2325729685,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n2325729685,Борисовка,central,1205853442,primary,улица Панина,,,,,,,50,asphalt
n2325729685,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
n2325729685,Борисовка,central,1205853443,primary,улица Панина,,,no,,,,50,asphalt
n2325729685,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
n2325729685,Борисовка,central,1207175147,primary,улица Панина,,,,,,,50,asphalt
n2325729685,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
n2325729685,Борисовка,central,1205856457,primary,улица Панина,,,,,,,50,asphalt
w319141459,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
w319141459,Борисовка,central,492733881,tertiary,улица Сергея Лазо,,,,,,,60,asphalt
w319141459,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
w319141459,Борисовка,central,132957182,tertiary,улица Сергея Лазо,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319141459,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319141459,Борисовка,central,252579182,service,,,,yes,,,,,asphalt
w319141459,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319141459,Борисовка,central,136077127,primary,улица Суворова,,,yes,,,,70,asphalt
w319141459,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319141459,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319141459,Борисовка,central,252579181,residential,улица Ленина,,yes,no,,,,50,asphalt
w319141459,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319141459,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319141459,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319141459,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319141459,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319141459,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319141459,Борисовка,central,276790978,primary,улица Котовского,,,yes,,,,70,asphalt
w319141459,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319141459,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319141459,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319141459,Борисовка,central,136077132,primary,улица Котовского,,,yes,,,,,asphalt
w319141459,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,1487162293,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
w319141459,Борисовка,central,136077122,primary,улица Котовского,,,yes,,,,60,asphalt
